0009_mc,0009_nc,0011_mc,0011_nc,0020_mc,0020_nc,0027_mc,0027_nc,000c_mc,000c_nc,In Temp (deg C),Out Temp (deg C),Relative Humidity (%),Time (UT)
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.807,2016-03-18T21:47:33.513173
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.921,2016-03-18T21:47:37.400241
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.891,2016-03-18T21:47:41.287611
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.776,2016-03-18T21:47:46.484210
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.901,39.715,2016-03-18T21:47:50.378529
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.8125,24.89,39.683,2016-03-18T21:47:54.283406
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.901,39.697,2016-03-18T21:47:58.180467
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.744,2016-03-18T21:48:02.083153
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.773,2016-03-18T21:48:05.982359
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.9375,24.901,39.82,2016-03-18T21:48:11.176149
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.901,39.904,2016-03-18T21:48:15.084535
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.921,2016-03-18T21:48:18.983793
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.901,39.904,2016-03-18T21:48:22.894816
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.89,39.851,2016-03-18T21:48:26.781509
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.901,39.895,2016-03-18T21:48:30.669054
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.89,39.91,2016-03-18T21:48:34.562515
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.879,39.887,2016-03-18T21:48:38.462950
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.869,39.91,2016-03-18T21:48:42.357221
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.901,39.903,2016-03-18T21:48:46.260918
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.912,39.926,2016-03-18T21:48:50.161210
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.901,40.406,2016-03-18T21:48:54.056469
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.875,24.922,40.593,2016-03-18T21:48:57.950952
